1 00:00:03,946 --> 00:00:05,368 Speaker SPEAKER_01: 嗨，大家好。
217 00:22:22,164 --> 00:22:23,507 说话人 SPEAKER_12：但我们正在努力搭建这座桥梁。
218 00:22:23,787 --> 00:22:25,608 说话人 SPEAKER_12：尝试搭建桥梁的人并不多。
219 00:22:25,650 --> 00:22:30,355 说话人 SPEAKER_12：特里·桑诺夫斯基（Terry Sanofsky）正在从另一端搭建桥梁，所以我们相处得很好。
220 00:22:30,942 --> 00:22:35,433 说话人 SPEAKER_12：许多尝试做计算机视觉的人只是想要一个能工作的东西。
221 00:22:35,453 --> 00:22:37,298 说话人 SPEAKER_12：他们不在乎大脑。
222 00:22:37,318 --> 00:22:45,541 说话人 SPEAKER_12：而且很多人关心大脑，想了解神经元是如何工作的等等，但不想太多地思考计算的实质。
223 00:22:46,078 --> 00:22:55,107 说话人 SPEAKER_12：我仍然认为，我们必须通过让了解数据的人和了解工作原理的人连接起来来搭建这座桥梁。
224 00:22:56,869 --> 00:23:04,116 说话人 SPEAKER_12：所以我的目标一直是制造出能够进行视觉识别的东西，但要以人们的方式进行视觉识别。
225 00:23:05,397 --> 00:23:11,023 说话人 SPEAKER_10：好的，所以我们还会回到那个话题，因为我想要问你关于最近的发展以及你认为这些发展如何与大脑相关。
226 00:23:11,865 --> 00:23:14,247 说话人 SPEAKER_10：Feifei，你还有 Jeff，只是
227 00:23:14,917 --> 00:23:16,900 说话人 SPEAKER_10：这为你的起点建立了一个框架。
228 00:23:17,641 --> 00:23:22,406 说话人 SPEAKER_10：从英国到美国再到加拿大，到 80 年代中后期，你在 87 年来到加拿大。
229 00:23:22,446 --> 00:23:32,559 说话人 SPEAKER_10：沿着那条路线，对神经网络以及你采取的方法的兴趣和资金支持是这样的，但我认为主要是这样的。
230 00:23:34,082 --> 00:23:34,522 说话人 SPEAKER_10：上下波动。
231 00:23:36,484 --> 00:23:39,568 说话人 SPEAKER_10：Fei-Fei，你的人生起点非常不同。
232 00:23:40,309 --> 00:23:42,833 说话人 SPEAKER_10：你能给我们介绍一下你是如何接触到人工智能的吗？
233 00:23:43,623 --> 00:24:07,133 Speaker SPEAKER_05: 我在中国开始了我的生活，15 岁时，我和父母搬到了新泽西州的波斯波利斯，所以我成为了新移民，我开始的地方首先是英语课，然后是第二语言课，因为我不会说这种语言，你知道的，就在那里工作，
234 00:24:07,113 --> 00:24:10,597 Speaker SPEAKER_05: 洗衣店和餐馆等等。
235 00:24:11,157 --> 00:24:14,281 Speaker SPEAKER_05: 但是我对物理学有着浓厚的兴趣。
236 00:24:14,702 --> 00:24:16,625 Speaker SPEAKER_05: 我不知道这是怎么进入我的大脑的。
237 00:24:17,405 --> 00:24:23,193 讲者 SPEAKER_05：我想去普林斯顿，因为我只知道爱因斯坦在那里。
238 00:24:24,174 --> 00:24:26,298 讲者 SPEAKER_05：我考入了普林斯顿。
239 00:24:26,317 --> 00:24:29,442 讲者 SPEAKER_05：我考入普林斯顿的时候他已经不在那里了。
240 00:24:29,422 --> 00:24:32,125 讲者 SPEAKER_05：你并不那么老。
241 00:24:32,365 --> 00:24:33,807 说话人 SPEAKER_05: 但有一座他的雕像。
242 00:24:34,468 --> 00:24:46,561 说话人 SPEAKER_05: 在物理学中，除了所有的数学和那些之外，我学到的一点是敢于提出最疯狂的问题。
243 00:24:47,142 --> 00:24:57,453 说话人 SPEAKER_05: 像原子世界中最小的粒子，或者空间的边界，宇宙的起源，
244 00:24:57,433 --> 00:25:07,154 说话人 SPEAKER_05: 在这个过程中，我发现作为三年级生的罗杰·彭罗斯和那些书。
245 00:25:08,857 --> 00:25:12,605 说话人 SPEAKER_05: 你可能有自己的看法，但至少我读过那些书。
246 00:25:13,788 --> 00:25:15,392 说话人 SPEAKER_12: 可能你最好没读过。
247 00:25:18,140 --> 00:25:21,624 说话人 SPEAKER_05: 至少他让我对大脑产生了兴趣。
248 00:25:21,644 --> 00:25:29,775 说话人 SPEAKER_05: 到我毕业的时候，我想作为一个科学家提出最勇敢的问题。
249 00:25:30,194 --> 00:25:38,645 讲者 SPEAKER_05：对我来说，我这一代人最令人着迷、最勇敢的问题，那是 2000 年，就是智能。
250 00:25:38,625 --> 00:25:48,684 讲者 SPEAKER_05：所以我去了加州理工学院，基本上是与克里斯托夫·科赫一起获得了神经科学的双博士，与皮埃特罗·帕罗纳一起获得了人工智能的博士。
251 00:25:49,046 --> 00:25:53,934 讲者 SPEAKER_05：所以我重复，杰夫，你说的关于桥的事情，因为
252 00:25:53,914 --> 00:26:13,508 讲者 SPEAKER_05：因为这五年让我有机会从事计算神经科学研究，研究心灵如何运作，同时也在计算方面工作，试图构建一个可以模仿人脑的计算机程序。
253 00:26:13,567 --> 00:26:15,131 说话人 SPEAKER_05: 这就是我的旅程。
254 00:26:15,391 --> 00:26:16,393 说话人 SPEAKER_05: 它始于物理学。
255 00:26:16,713 --> 00:26:19,939 说话人 SPEAKER_10: 好的，所以你们的旅程在 2012 年的 ImageNet 上交汇。
256 00:26:20,019 --> 00:26:22,826 说话人 SPEAKER_05: 顺便说一下，我是在读研究生的时候遇到杰夫的。
257 00:26:22,846 --> 00:26:23,488 说话人 SPEAKER_12: 好的，我记得。
258 00:26:23,508 --> 00:26:25,112 说话人 SPEAKER_12: 我以前经常去皮埃特罗的实验室。
259 00:26:25,231 --> 00:26:26,114 说话人 SPEAKER_05: 是的。
260 00:26:26,134 --> 00:26:29,221 说话人 SPEAKER_12: 事实上，他实际上在我 70 岁的时候，在加州理工学院给我提供了一个工作机会。
261 00:26:31,086 --> 00:26:32,368 说话人 SPEAKER_05: 你本可以成为我的导师。
262 00:26:33,050 --> 00:26:34,914 说话人 SPEAKER_12: 不，在我 70 岁的时候不行。
263 00:26:38,644 --> 00:26:38,703 未知说话人: 好的。
264 00:26:39,140 --> 00:26:41,563 说话人 SPEAKER_10: 好的，所以我们是在 ImageNet 上相遇的。
265 00:26:41,583 --> 00:26:46,068 讲者 SPEAKER_10：对于这个领域的所有人来说，我们都知道 ImageNet 是这样一个大爆炸时刻。
266 00:26:46,548 --> 00:26:57,022 讲者 SPEAKER_10：在那之后，首先是大型科技公司介入，基本上开始收购你的学生和你，将他们引入公司。
267 00:26:57,042 --> 00:26:59,826 讲者 SPEAKER_10：我认为他们是第一批意识到这种潜力的人。
268 00:27:01,127 --> 00:27:02,549 讲者 SPEAKER_10：我想就此谈谈。
269 00:27:02,789 --> 00:27:05,973 说话人 SPEAKER_10: 但我有点快进，我觉得
270 00:27:05,953 --> 00:27:12,721 说话人 SPEAKER_10: 只有现在，自从 ChatGPT 以来，世界上的其他人才开始赶上 AI 的力量，因为终于可以与之互动了。
271 00:27:12,741 --> 00:27:16,205 说话人 SPEAKER_10: 你可以在会议室体验它，他们可以谈论它，然后回家。
272 00:27:16,267 --> 00:27:22,835 说话人 SPEAKER_10: 然后那个 10 岁的孩子刚刚用 ChatGPT 为五年级写了一篇关于恐龙的作文。
273 00:27:22,855 --> 00:27:27,921 说话人 SPEAKER_10：所以这种每个人都能玩起来的超越体验，我认为，是一个巨大的转变。
274 00:27:27,941 --> 00:27:31,404 说话人 SPEAKER_10：但在那之后的 10 年里，
275 00:27:31,974 --> 00:27:40,926 说话人 SPEAKER_10：大科技公司内部的人工智能经历了爆炸式增长，其他人并没有真正注意到正在发生的事情。
276 00:27:41,468 --> 00:27:47,817 说话人 SPEAKER_10：你能和我们分享一下你的亲身经历吗？因为你是在 ImageNet 之后从零开始经历的。
277 00:27:49,578 --> 00:27:57,269 说话人 SPEAKER_12：对于我们来说，很难进入别人的思维框架，因为他们没有意识到发生了什么，而我们却意识到了。
278 00:27:58,570 --> 00:27:59,231 说话人 SPEAKER_12：所以，
279 00:28:00,258 --> 00:28:06,284 说话人 SPEAKER_12：许多你本以为会处于最前沿的大学在对此的接受上非常缓慢。
280 00:28:06,364 --> 00:28:08,767 说话人 SPEAKER_12：比如麻省理工学院和加州大学伯克利分校。
281 00:28:09,207 --> 00:28:19,017 讲者 SPEAKER_12：我记得在 2013 年左右，我去伯克利参加了一个讲座，当时人工智能在计算机视觉领域已经非常成功。
282 00:28:19,657 --> 00:28:25,542 讲者 SPEAKER_12：讲座结束后，一个研究生走到我面前，他说，我已经在这里待了四年，这是我第一次听到关于神经网络的内容。
283 00:28:25,563 --> 00:28:26,403 讲者 SPEAKER_12：它们真的很有趣。
284 00:28:27,204 --> 00:28:29,067 讲者 SPEAKER_05：他应该去斯坦福。
285 00:28:29,366 --> 00:28:32,392 说话人 SPEAKER_12: 很可能，很可能。
286 00:28:33,192 --> 00:28:34,694 说话人 SPEAKER_12: 但和麻省理工一样。
287 00:28:34,976 --> 00:28:45,932 说话人 SPEAKER_12: 他们坚决反对使用神经网络，ImageNet 事件开始让他们动摇，现在他们是神经网络的大力支持者。
288 00:28:46,433 --> 00:28:55,729 说话人 SPEAKER_12: 但现在很难想象，但大约在 2010 或 2011 年，计算机视觉领域的人
289 00:28:56,468 --> 00:29:00,011 讲者 SPEAKER_12：非常好，计算机视觉领域的人士，当时非常坚决地反对神经网络。
290 00:29:00,471 --> 00:29:07,200 讲者 SPEAKER_12：他们反对得如此激烈，例如，有一家主要期刊，IEEE 模式识别... PAMI。
291 00:29:07,579 --> 00:29:13,066 讲者 SPEAKER_12：PAMI，曾经有一项政策，不允许审阅关于神经网络的论文。
292 00:29:13,366 --> 00:29:13,946 讲者 SPEAKER_12：直接退回。
293 00:29:13,967 --> 00:29:14,528 说话人 SPEAKER_12: 别评判他们。
294 00:29:14,548 --> 00:29:15,148 说话人 SPEAKER_12: 浪费时间。
295 00:29:15,169 --> 00:29:16,911 说话人 SPEAKER_12: 这不应该在 PAMI 上发表。
296 00:29:17,912 --> 00:29:22,797 说话人 SPEAKER_12: Yann LeCun 向一个他曾经有神经网络的会议提交了一篇论文。
297 00:29:22,861 --> 00:29:30,229 讲者 SPEAKER_12：这比最先进的方法在识别、行人分割方面做得更好，但被拒绝了。
298 00:29:30,910 --> 00:29:50,251 讲者 SPEAKER_12：其中一个原因是，一位审稿人说，这让我们对视觉一无所知，因为他们对计算机视觉的工作方式有这种看法，即你研究视觉问题的本质，制定一个解决它的算法，然后找出如何实现该算法，最后发表论文。
299 00:29:50,484 --> 00:29:54,532 讲者 SPEAKER_05：我必须捍卫我的领域，不是所有人。
300 00:29:55,233 --> 00:30:00,403 讲者 SPEAKER_12：所以有很多人……但他们大多数都坚决反对神经网络。
301 00:30:00,865 --> 00:30:07,718 说话人 SPEAKER_12: 然后在 ImageNet 竞赛之后发生了一件令人瞩目的事情，那就是他们大约在一年内都发生了变化。
302 00:30:07,698 --> 00:30:14,007 说话人 SPEAKER_12: 所有一直是最严厉的神经网络批评者开始做神经网络，这让我们感到非常遗憾。
303 00:30:14,027 --> 00:30:15,108 说话人 SPEAKER_12: 其中一些人做得比我们还好。
304 00:30:16,730 --> 00:30:20,797 说话人 SPEAKER_12: 例如，牛津的 Zisserman 很快就做出了一个更好的神经网络。
305 00:30:22,359 --> 00:30:26,986 讲者 SPEAKER_12: 但他们的行为就像科学家应该表现的那样，他们坚信这些资料都是垃圾。
306 00:30:27,666 --> 00:30:32,253 讲者 SPEAKER_12: 由于 ImageNet，我们最终证明它不是，然后他们改变了。
307 00:30:32,233 --> 00:30:34,217 讲者 SPEAKER_12: 这真是太令人欣慰了。
308 00:30:34,237 --> 00:30:42,728 讲者 SPEAKER_10: 就此继续，所以你试图展示的是，你试图使用神经网络准确地对这 1500 万张图片进行标注。
309 00:30:43,249 --> 00:30:46,292 说话人 SPEAKER_10: 你已经在后台将它们全部标注好了，这样你就可以进行测量了。
310 00:30:47,114 --> 00:30:51,839 说话人 SPEAKER_10: 你做的时候，错误率从去年的 26%下降到了大约 16%？
311 00:30:52,300 --> 00:30:52,942 说话人 SPEAKER_12: 我想是 15.3。
312 00:30:53,041 --> 00:30:53,162 说话人 SPEAKER_12: 好的。
313 00:30:55,003 --> 00:30:56,767 说话人 SPEAKER_10: 然后它随后一直在下降。
314 00:30:56,787 --> 00:30:57,667 说话人 SPEAKER_12: 15.32。
315 00:30:59,098 --> 00:31:02,124 说话人 SPEAKER_12: 哪个随机化？
316 00:31:02,144 --> 00:31:04,626 说话人 SPEAKER_10: Jeff 不会忘记事情。
317 00:31:05,729 --> 00:31:11,778 说话人 SPEAKER_10: 然后随后的几年，人们使用了更强大的神经网络，并且持续下降，直到超过。
318 00:31:11,798 --> 00:31:19,589 说话人 SPEAKER_05: 2015 年，有一个非常聪明的加拿大本科生加入了我的实验室。
319 00:31:19,630 --> 00:31:21,192 说话人 SPEAKER_05: 他的名字叫安德烈·卡帕西。
320 00:31:22,074 --> 00:31:28,363 说话人 SPEAKER_05: 他在一个夏天感到无聊，说我想衡量人类的表现。
321 00:31:28,343 --> 00:31:30,046 说话人 SPEAKER_05：所以你应该去读他的博客。
322 00:31:30,586 --> 00:31:37,378 说话人 SPEAKER_05：他做了所有这些人类进行的图像测试。
323 00:31:37,519 --> 00:31:41,946 说话人 SPEAKER_05：我想他得用披萨贿赂他们，我在实验室的学生们。
324 00:31:41,987 --> 00:31:47,836 说话人 SPEAKER_05：他们的准确率达到了大约 5%。
325 00:31:47,817 --> 00:31:48,657 说话人 SPEAKER_05: 是 5 还是 3.5？
326 00:31:48,678 --> 00:31:48,758 说话人 SPEAKER_05: 3.
327 00:31:48,778 --> 00:31:51,521 说话人 SPEAKER_05: 我想应该是 3.5。
328 00:31:51,842 --> 00:31:54,085 说话人 SPEAKER_10: 所以人类大约 3%的时间会犯错误。
329 00:31:54,125 --> 00:31:54,525 说话人 SPEAKER_05: 对。
330 00:31:55,286 --> 00:31:59,372 说话人 SPEAKER_05: 然后我想是 2016 年，我想 ResNet 超过了它。
331 00:32:00,192 --> 00:32:00,953 说话人 SPEAKER_05: 是 ResNet。
332 00:32:02,275 --> 00:32:06,240 说话人 SPEAKER_05: 那一年的获胜算法超过了人类的表现。
333 00:32:06,740 --> 00:32:13,849 说话人 SPEAKER_10: 最后，你不得不退役比赛，因为它比人类好得多，我们不得不退役，因为我们资金耗尽了。
334 00:32:14,770 --> 00:32:14,871 说话人 SPEAKER_10: 好的。
335 00:32:15,559 --> 00:32:17,983 说话人 SPEAKER_10: 这是一个不同的原因，一个不好的原因。
336 00:32:18,003 --> 00:32:18,905 说话人 SPEAKER_05: 我们还是资金耗尽了。
337 00:32:19,226 --> 00:32:28,821 讲者 SPEAKER_12：顺便提一下，那位学生最初在多伦多大学开始他的学业，后来他去了你的实验室，然后又去了特斯拉担任研究部门负责人。
338 00:32:29,603 --> 00:32:31,846 讲者 SPEAKER_05：好的，首先，他来
339 00:32:31,826 --> 00:32:34,171 讲者 SPEAKER_05：斯坦福大学读博士。
340 00:32:34,912 --> 00:32:41,723 讲者 SPEAKER_05：昨晚我们聊天时，实际上中间有一个突破性的论文答辩。
341 00:32:42,144 --> 00:32:45,550 说话者 SPEAKER_05: 然后他成为了 OpenAI 的创始团队的一员。
342 00:32:45,991 --> 00:32:46,893 说话者 SPEAKER_12: 但然后他去特斯拉了，对吧？
343 00:32:46,913 --> 00:32:48,154 说话者 SPEAKER_05: 然后他去特斯拉了。
344 00:32:48,276 --> 00:32:52,643 说话者 SPEAKER_12: 但然后他改变了主意。
345 00:32:52,762 --> 00:32:56,028 说话人 SPEAKER_05：但我确实想回答你关于那 10 年的问题。
346 00:32:56,481 --> 00:32:58,744 说话人 SPEAKER_10：嗯，在这过程中有几个发展。
347 00:32:58,925 --> 00:32:59,185 说话人 SPEAKER_05：没错。
348 00:32:59,266 --> 00:32:59,946 说话人 SPEAKER_10：Transformer。
349 00:33:00,407 --> 00:33:00,647 说话人 SPEAKER_05: 对。
350 00:33:01,008 --> 00:33:05,434 说话人 SPEAKER_10: 所以 Transformer 论文已经写成，这项研究是在谷歌内部的一篇论文中完成的。
351 00:33:05,955 --> 00:33:18,634 说话人 SPEAKER_10: 另一位加拿大人是合著者之一，Aiden Gomez，现在是 Cohere 的 CEO 和联合创始人，我认为他当时在谷歌大脑做实习生时，年仅 20 岁，就参与了这篇论文的合著。
352 00:33:19,875 --> 00:33:23,721 说话人 SPEAKER_10: 所以加拿大人在这些突破性进展中有着传统。
353 00:33:24,442 --> 00:33:27,759 说话人 SPEAKER_10: 杰夫，你在撰写论文时在谷歌工作。
354 00:33:27,980 --> 00:33:32,782 说话人 SPEAKER_10: 谷歌内部是否意识到这有多么重要？
355 00:33:32,948 --> 00:33:34,190 说话人 SPEAKER_12: 我认为没有。
356 00:33:34,269 --> 00:33:38,877 说话人 SPEAKER_12: 可能作者知道，但我过了几年才意识到这有多么重要。
357 00:33:39,298 --> 00:33:43,226 说话人 SPEAKER_12：在谷歌，人们直到 BERT 出现之前都没有意识到它的重要性。
358 00:33:43,246 --> 00:33:51,601 说话人 SPEAKER_12：所以 BERT 使用了 Transformer，BERT 在许多自然语言处理基准测试中针对许多不同的任务都变得更好。
359 00:33:52,623 --> 00:33:55,647 说话人 SPEAKER_12：那时人们才意识到 Transformer 的特殊之处。
360 00:33:56,067 --> 00:33:59,592 说话人 SPEAKER_05：所以 2017 年，Transformer 论文发表了。
361 00:33:59,952 --> 00:34:04,199 说话人 SPEAKER_05：我也加入了谷歌，我想我们实际上是在我的第一周相遇的。
362 00:34:05,099 --> 00:34:10,367 说话人 SPEAKER_05：我认为 2017 年和 2018 年的大部分时间都在做神经架构搜索。
363 00:34:11,148 --> 00:34:13,552 说话人 SPEAKER_05：我认为那是谷歌的赌注。
364 00:34:14,253 --> 00:34:16,858 说话人 SPEAKER_05：并且使用了大量的 GPU。
365 00:34:17,478 --> 00:34:20,623 说话人 SPEAKER_05: 所以这是一个不同的赌注。
366 00:34:20,755 --> 00:34:24,621 说话人 SPEAKER_12: 所以，为了解释一下，神经架构搜索基本上就是指这个。
367 00:34:26,443 --> 00:34:33,835 说话人 SPEAKER_12: 你需要很多 GPU，然后尝试很多不同的架构，看看哪个效果最好，并且自动化这个过程。
368 00:34:34,195 --> 00:34:37,260 说话人 SPEAKER_12: 这基本上是神经网络架构的自动化进化。
369 00:34:37,280 --> 00:34:38,742 说话人 SPEAKER_05: 这就像超参数调整。
370 00:34:38,762 --> 00:34:39,704 说话人 SPEAKER_12: 是的。
371 00:34:39,724 --> 00:34:44,572 说话人 SPEAKER_12: 这带来了一些相当大的改进，但远不如 Transformer。
372 00:34:45,434 --> 00:34:48,619 说话人 SPEAKER_12: Transformer 对自然语言处理是一个巨大的改进。
373 00:34:48,920 --> 00:34:52,788 说话人 SPEAKER_05：神经网络的架构搜索主要是在 ImageNet 上进行的。
374 00:34:52,807 --> 00:34:55,032 说话人 SPEAKER_10：所以我会告诉你们我们的 Transformer 经验。
375 00:34:55,072 --> 00:34:57,076 说话人 SPEAKER_10：当时我们公司正在进行第六层。
376 00:34:57,096 --> 00:35:01,865 说话人 SPEAKER_10：我想我们看到了论文的预读。
我们正处于筹款和一系列收购提议的过程中，我们阅读了这篇论文，我的意思是，不仅仅是我自己，还有我的合作伙伴 Tommy，他曾经和您学习过，还有 Max Volkovs，他是从实验室出来的。
378 00：35：15,454 --> 00：35：19,059 演讲者 SPEAKER_10：我们认为这是神经网络的下一次迭代。
我们应该出售公司，成立风险投资基金，并投资那些将要使用 Transformer 的公司。
所以我们认为，要被谷歌以外的用户接受，可能需要五年的时间。
381 00:35:28,659 --> 00:35:34,175 说话人 SPEAKER_10: 从那一刻起，全世界所有的软件都将用这项技术来替换或嵌入，这将需要 10 年时间。
382 00:35:35,257 --> 00:35:39,530 说话人 SPEAKER_10: 我们在 ChatGPT 发布前五年零两周做出了那个决定。
383 00:35:39,967 --> 00:35:50,320 说话人 SPEAKER_10: 所以我很高兴看到我们预测得很好，但我必须给我的联合创始人点赞，我以为我理解了那篇论文，但他们能够完全解释它。
384 00:35:50,380 --> 00:35:51,721 说话人 SPEAKER_12: 我应该纠正你一点。
385 00:35:52,121 --> 00:35:53,824 说话人 SPEAKER_12：我认为汤米从来没有和我一起学过。
386 00:35:53,864 --> 00:36:00,952 说话人 SPEAKER_12：他想要来和我一起学习，但我部门的同事告诉他，如果他来和我一起工作，那他的职业生涯就结束了，他应该去做其他的事情。
387 00:36:01,893 --> 00:36:07,239 说话人 SPEAKER_10：所以他参加了课程，这位是我的合作伙伴，他在 20 世纪 90 年代在多伦多大学读硕士，他想去杰夫那里学习，研究神经网络，而他现在的妻子父亲的工程学教授说，不要做那个，神经网络是死胡同。
388 00:36:07,219 --> 00:36:21,885 说话人 SPEAKER_10：90 年代，在多伦多大学读硕士，他想去杰夫那里学习，研究神经网络，而他现在的妻子父亲的工程学教授说，不要做那个，神经网络是死胡同。
389 00:36:21,905 --> 00:36:27,675 讲者 SPEAKER_10：所以，他参加了课程，但用加密货币写了论文。
390 00:36:29,865 --> 00:36:35,490 讲者 SPEAKER_10：那么，你还要继续谈论那 10 年吗？
391 00:36:35,530 --> 00:36:37,400 讲者 SPEAKER_05：因为我认为有一些重要的事情。
392 00:36:37,721 --> 00:36:39,268 讲者 SPEAKER_10：是的，那么请继续。
393 00:36:39,367 --> 00:36:43,070 说话人 SPEAKER_05：我认为世界上忽视了一些重要的事情。
394 00:36:43,311 --> 00:36:56,684 说话人 SPEAKER_05：在这 10 年间，从 ImageNet 到 AlexNet 再到 ChatGPT，大多数人将其视为技术 10 年，或者我们将其视为技术 10 年。
395 00:36:57,244 --> 00:36:59,608 说话人 SPEAKER_05：在大型科技公司中，有一些事情正在酝酿。
396 00:36:59,748 --> 00:37:04,472 说话人 SPEAKER_05：我的意思是，它需要序列到序列、Transformer，但有一些事情正在酝酿。
397 00:37:05,054 --> 00:37:07,416 说话人 SPEAKER_05：但我确实认为，
398 00:37:07,396 --> 00:37:15,088 说话人 SPEAKER_05：对我来说和整个世界来说，这也是从技术到社会的转变。
399 00:37:15,568 --> 00:37:33,335 说话人 SPEAKER_05：实际上我认为，在这十年中，我从一名科学家成长为一个人文主义者，因为在那篇关于 Transformer 论文的两年间加入谷歌，我开始看到这项技术的社会影响。
400 00:37:33,315 --> 00:37:41,719 说话人 SPEAKER_05：这是在 AlphaGo 之后，很快我们就迎来了 AlphaFold 的时刻。
401 00:37:42,280 --> 00:37:45,550 说话人 SPEAKER_05：偏见正在悄悄蔓延。
402 00:37:46,012 --> 00:37:48,338 说话人 SPEAKER_05：存在隐私问题。
403 00:37:48,318 --> 00:37:53,465 说话人 SPEAKER_05：然后我们开始看到虚假信息和错误信息的苗头。
404 00:37:54,085 --> 00:38:02,878 说话人 SPEAKER_05：然后我们开始看到关于工作的讨论仅限于小圈子，而不是在公众讨论中。
405 00:38:03,639 --> 00:38:06,202 说话人 SPEAKER_05：就在我个人感到焦虑的时候。
406 00:38:06,402 --> 00:38:10,527 说话人 SPEAKER_05：你知道的，2018 年，
407 00:38:11,706 --> 00:38:14,992 说话人 SPEAKER_05：哦，就在剑桥分析公司事件之后。
408 00:38:15,532 --> 00:38:23,545 说话人 SPEAKER_05：所以，技术的巨大影响，不是 AI 本身，而是驱动选举的算法技术。
409 00:38:24,106 --> 00:38:30,277 说话人 SPEAKER_05：那时我必须做出一个个人决定，是留在谷歌还是回到斯坦福。
410 00:38:30,396 --> 00:38:33,461 说话人 SPEAKER_05：我知道我回到斯坦福的唯一原因
411 00:38:33,442 --> 00:38:40,952 说话人 SPEAKER_05：就是成立这个以人为中心的 AI 研究所，真正地、真正地理解这项技术的以人为本的一面。
412 00:38:41,012 --> 00:38:54,753 说话人 SPEAKER_05：所以我认为这是非常重要的 10 年，尽管在公众眼中它可能并不显眼，但这项技术已经开始真正地渗透到我们生活的方方面面。
413 00:38:54,992 --> 00:39:03,144 说话人 SPEAKER_05: 当然，2022 年，在日光下展示得如此深刻。
414 00:39:03,344 --> 00:39:16,711 说话人 SPEAKER_10: 在那个时期发生的事情还有一个有趣的脚注，那就是最终你、伊利亚和亚历克斯加入了谷歌，但在那之前，有一家加拿大公司有机会获得这项技术的访问权限。
415 00:39:17,164 --> 00:39:21,172 说话人 SPEAKER_10: 我听说过这个故事，但我不认为它曾经被公开分享过。
416 00:39:21,873 --> 00:39:24,456 说话人 SPEAKER_10: 我听说过这个故事，但我不认为它曾经被公开分享过。
417 00:39:24,496 --> 00:39:26,159 说话人 SPEAKER_10: 你是不是想分享那个故事一会儿？
418 00:39:26,681 --> 00:39:39,661 说话人 SPEAKER_12: 好的，所以我们在 2009 年开发了我们用于 ImageNet 的技术，是为了进行语音识别，进行语音识别的声学建模部分。
419 00:39:39,641 --> 00:39:47,572 说话人 SPEAKER_12: 所以你可以把声波变成一个叫做频谱图的东西，它告诉你每个时间点每个频率的能量有多少。
420 00:39:48,034 --> 00:39:49,675 说话人 SPEAKER_12: 所以你可能已经习惯了看到频谱图。
421 00:39:50,677 --> 00:40:00,811 说话者 SPEAKER_12：你想做的是观察一个频谱图，并猜测频谱图中间帧表达了哪个音素的哪一部分。
422 00:40:00,831 --> 00:40:09,565 说话者 SPEAKER_12：有两个学生，乔治·达尔和另一个我与杰拉尔德·彭恩分享的学生。
423 00:40:11,248 --> 00:40:12,369 说话者 SPEAKER_12：阿布杜。
424 00:40:13,050 --> 00:40:14,452 说话者 SPEAKER_12：他有一个更长的名字。
425 00:40:14,793 --> 00:40:18,338 说话人 SPEAKER_12：我们都叫他阿布，他是一位语音专家。
426 00:40:18,358 --> 00:40:19,619 说话人 SPEAKER_12：乔治是一位学习专家。
427 00:40:20,221 --> 00:40:30,293 说话人 SPEAKER_12：2009 年夏天，他们做了一个模型，比 30 年的语音研究所能产生的都要好，而且是大团队在语音研究上取得的成果。
428 00:40:30,713 --> 00:40:34,739 说话人 SPEAKER_12：这个模型稍微好一些，没有像 ImageNet 差距那么大，但确实更好了。
429 00:40:36,081 --> 00:40:39,045 说话人 SPEAKER_12: 然后，这个模型被移植到了 IBM 和微软，乔治去了微软，阿布去了 IBM，那些大型语音团队开始使用神经网络。
430 00:40:40,375 --> 00:40:52,335 说话人 SPEAKER_12: 我还有第三个学生，他一直在做其他事情，名叫 Navdeep，Navdeep Jaitley，然后
431 00:40:53,378 --> 00:40:59,329 说话人 SPEAKER_12: 他想将这项语音技术带到一家大公司，但由于复杂的签证问题，他希望留在加拿大，所以我们联系了 BlackBerry，RIM，我们说，我们有一种新的语音识别方法，它比现有技术更有效，我们希望有一个学生在暑假期间去你们那里展示如何使用它，然后你们手机上的语音识别技术就可以是最好的。
432 00:41:00,034 --> 00:41:27,577 说话人 SPEAKER_12: 他想将这项语音技术带到一家大公司，但由于复杂的签证问题，他希望留在加拿大，所以我们联系了 BlackBerry，RIM，我们说，我们有一种新的语音识别方法，它比现有技术更有效，我们希望有一个学生在暑假期间去你们那里展示如何使用它，然后你们手机上的语音识别技术就可以是最好的。
433 00:41:28,250 --> 00:41:34,661 说话人 SPEAKER_12: 经过一些讨论后，我们表示不感兴趣，就像我们说的，我们不感兴趣。
434 00:41:35,742 --> 00:41:39,148 说话人 SPEAKER_12: 因此，我们试图将其交给加拿大工业的努力失败了。
435 00:41:40,170 --> 00:41:45,498 说话人 SPEAKER_12: 然后，Navdeep 把它带到了谷歌。
436 00:41:46,222 --> 00:41:48,824 说话人 SPEAKER_12: 谷歌是第一个将其转化为产品的。
437 00:41:48,925 --> 00:42:05,385 说话人 SPEAKER_12：所以在 2012 年，大约在我们赢得 ImageNet 竞赛的同时，George 和 Abdo 的语音识别声学模型也在进行，那时有很多工作使其成为一个好的产品，使其具有低延迟等等。
438 00:42:06,166 --> 00:42:07,909 说话人 SPEAKER_12：这个模型出现在 Android 上。
439 00:42:07,889 --> 00:42:12,554 说话人 SPEAKER_12：然后有一个时刻，Android 在语音识别方面突然变得和 Siri 一样好。
440 00:42:12,576 --> 00:42:13,617 说话人 SPEAKER_12：而那正是神经网络。
