1 00:00:02,410 --> 00:00:06,495 说话人 SPEAKER_00: 为本视频的主题人物 Geoffrey Hinton 写一个简短的介绍。
225 00:21:14,464 --> 00:21:24,494 说话人 SPEAKER_01：AlexNet 基本上就是这样的一种网络，但包含了 1000 个不同的物体类别，并且有大约 7 层特征检测器。
226 00:21:25,756 --> 00:21:32,803 说话人 SPEAKER_01：它还使用了 Yann LeCun 开发的其他技术，即卷积网络。
227 00:21:33,482 --> 00:21:35,924 说话人 SPEAKER_01：我现在会尝试解释这些，因为它们非常重要。
228 00:21:38,728 --> 00:21:43,813 说话人 SPEAKER_01：记得我之前说过，你可以通过
229 00:21:44,079 --> 00:21:50,449 说话人 SPEAKER_01：检查两行，通过有两行这样的，如果你看到那些两个特征检测器，那么就做一个喙检测器。
230 00:21:50,929 --> 00:21:53,272 说话人 SPEAKER_01：但这只是针对特定位置，对吧？
231 00:21:54,354 --> 00:22:02,605 说话人 SPEAKER_01：在卷积神经网络中，当你为某个位置制作一个特征检测器时，你会为图像中的所有位置制作相同的特征检测器。
232 00:22:04,327 --> 00:22:08,973 说话人 SPEAKER_01：所以现在，如果它在这里训练了喙，当它学习时，
233 00:22:09,325 --> 00:22:11,467 说话人 SPEAKER_01：这真是有趣，我需要为这个设计一个喙检测器。
234 00:22:11,926 --> 00:22:13,808 说话人 SPEAKER_01：所以它学习了一个检测这个喙的特征。
235 00:22:14,430 --> 00:22:18,353 说话人 SPEAKER_01：它会自动为图像中的其他所有位置制作副本。
236 00:22:19,034 --> 00:22:24,138 说话人 SPEAKER_01：所以如果现在鸟出现在不同的位置，它将会有特征检测器来识别它。
237 00:22:25,480 --> 00:22:30,884 说话人 SPEAKER_01：所以这个想法，将特征检测器复制到每个位置，本质上就是一个卷积网络。
238 00:22:32,567 --> 00:22:36,971 说话人 SPEAKER_01：这使得整个系统在位置上的泛化能力大大提高。
239 00:22:37,010 --> 00:22:39,113 说话人 SPEAKER_01：现在它可以应对位置变化的情况。
240 00:22:39,633 --> 00:22:42,316 说话人 SPEAKER_01：因为每个位置都有这些特征检测器的副本。
241 00:22:43,797 --> 00:23:00,573 说话人 SPEAKER_01：通过卷积网络和多层特征，亚历克斯在一种名为图形处理单元的设备上非常高效地编程了所有这些，这种设备最初是为计算机图形开发的，但它就像一台微型超级计算机。
242 00:23:01,413 --> 00:23:06,618 说话人 SPEAKER_01：它可以在众多独立进程中同时进行大量的计算。
243 00:23:07,273 --> 00:23:10,598 说话人 SPEAKER_01：这使得我们的计算能力比普通计算机提高了约 30 倍。
244 00:23:11,421 --> 00:23:14,786 说话人 SPEAKER_01：30 倍的增长相当于计算机领域 10 年的进步。
245 00:23:15,446 --> 00:23:18,832 说话人 SPEAKER_01：所以我们突然可以在计算能力上跃进 10 年。
246 00:23:20,654 --> 00:23:25,142 说话人 SPEAKER_01：编程这些 GPU 板子非常困难。
247 00:23:26,104 --> 00:23:29,569 说话人 SPEAKER_01：亚历克斯设法编程了两块，使它们能够协作，这更加困难。
248 00:23:31,472 --> 00:23:34,917 说话人 SPEAKER_01：最后一个要素是 ImageNet 数据集。
249 00:23:35,454 --> 00:23:47,590 说话人 SPEAKER_01：所以有人叫李飞飞，她和她的合作者整理了一大套图片，然后举办了一场公开竞赛，大约有一百万张图片，包含一千种不同的物体。
250 00:23:47,631 --> 00:23:49,933 说话人 SPEAKER_01：所以每种物体大约有一千个例子。
251 00:23:50,674 --> 00:23:52,617 说话人 SPEAKER_01：然后你需要学会识别这些物体。
252 00:23:53,138 --> 00:23:57,364 说话人 SPEAKER_01：然后测试集会有不同的图片，这些图片也包含这些物体。
253 00:23:57,644 --> 00:23:59,606 说话人 SPEAKER_01：因此，你需要对不同图像进行泛化。
254 00:24:00,489 --> 00:24:03,031 说话人 SPEAKER_01：结果证明，当时发明的最好的计算机视觉技术
255 00:24:03,349 --> 00:24:10,277 说话人 SPEAKER_01：的错误率高达 25%，而 Alex 的误差率只有 15%。
256 00:24:11,577 --> 00:24:13,859 说话人 SPEAKER_01：从那时起，错误率已经下降到大约 3%。
257 00:24:14,119 --> 00:24:15,080 说话人 SPEAKER_01：从那时起进展得要好得多。
258 00:24:15,461 --> 00:24:30,336 说话人 SPEAKER_01：但这是一个巨大的飞跃，计算机视觉领域的人们都非常惊讶，他们大多数人都表现得非常令人钦佩，就是说，我们从未想过这会奏效，但嘿，它奏效了，所以我们决定改变我们之前所做的事情。
259 00:24:30,653 --> 00:24:32,194 说话人 SPEAKER_01：这就是科学家们通常不会做的事情。
260 00:24:32,394 --> 00:24:35,479 说话人 SPEAKER_01：科学家们通常只是随着年龄的增长抱怨新东西都是胡说八道。
261 00:24:35,919 --> 00:24:41,164 说话人 SPEAKER_02：那么您如何描述自那时以来人工智能创新的步伐呢？
262 00:24:41,905 --> 00:24:43,327 说话人 SPEAKER_01：它只是越来越快。
263 00:24:43,607 --> 00:24:53,960 说话人 SPEAKER_01：所以如果那时问我，这些神经网络何时能进行比当前技术水平更好的机器翻译，我会说可能需要 10 年。
264 00:24:54,579 --> 00:24:58,585 说话人 SPEAKER_01：因为机器翻译是这样的东西
265 00:24:58,565 --> 00:25:08,682 说话人 SPEAKER_01：如果你有一个全部关于处理符号串的理论，机器翻译就是为你量身定做的，因为你在一种语言中有符号串，你必须产生另一种语言的符号串。
266 00:25:09,482 --> 00:25:13,569 说话人 SPEAKER_01：符号派的人认为，你只是在操作字符串来完成这个任务。
267 00:25:14,912 --> 00:25:23,626 说话人 SPEAKER_01：神经网络派的人认为，你必须将这个符号串转换成这些大的神经网络活动模式，然后你还得将它转换回符号输出。
268 00:25:25,008 --> 00:25:35,642 说话人 SPEAKER_01：我非常惊讶，机器翻译只用了几年时间就变得很好，然后在一年或两年后，谷歌开始使用它，这极大地提高了机器翻译的质量。
269 00:25:36,343 --> 00:25:48,078 说话人 SPEAKER_01：就像在中文这样的语言中，这是来自记忆的，但计算机翻译和人工翻译之间的差距，一夜之间就缩小了一半。
270 00:25:49,273 --> 00:25:50,335 说话人 SPEAKER_01：我认为是中文做到了这一点。
271 00:25:50,996 --> 00:25:52,898 说话人 SPEAKER_01：但在很多语言中，它只是让翻译变得更好。
272 00:25:53,278 --> 00:25:56,282 说话人 SPEAKER_01：从那时起，显然，它已经变得相当好了。
273 00:25:56,884 --> 00:25:59,247 说话人 SPEAKER_01: 但到 2015 年，它已经运作得相当好了。
274 00:26:00,188 --> 00:26:01,170 说话人 SPEAKER_01: 这真的让我感到惊讶。
275 00:26:01,269 --> 00:26:02,151 说话人 SPEAKER_01: 只用了三年时间。
276 00:26:04,693 --> 00:26:07,117 说话人 SPEAKER_00: 你说你对创新的步伐感到惊讶。
277 00:26:07,597 --> 00:26:11,703 说话人 SPEAKER_00: 你第一次使用像 ChatGPT 这样的大型语言模型时，你怎么想的？
278 00:26:12,124 --> 00:26:13,065 说话人 SPEAKER_00: 我们让你惊讶了吗？
279 00:26:13,085 --> 00:26:18,893 说话人 SPEAKER_01: 我只是对它的好感到震惊。
280 00:26:19,987 --> 00:26:25,700 说话人 SPEAKER_01: 它可以给出非常连贯的答案，并且可以进行一些推理。
281 00:26:26,301 --> 00:26:29,429 说话人 SPEAKER_01: 尽管目前还不是很复杂的推理，但它的能力会大大提高。
282 00:26:30,230 --> 00:26:38,670 说话人 SPEAKER_01：例如，我问它，这是 GPT-4，我向它提出了一个符号 AI 人士给我的谜题。
283 00:26:39,426 --> 00:26:40,768 说话人 SPEAKER_01：他认为它做不到。
284 00:26:41,648 --> 00:26:44,092 我实际上把这个谜题做得更难，它仍然能做。
285 00:26:44,751 --> 00:26:45,913 所以这个谜题是这样的。
286 00:26:46,673 --> 00:26:51,097 说话人 SPEAKER_01：我家里的房间要么是白色，要么是蓝色，要么是黄色。
287 00:26:53,740 --> 00:26:56,344 说话人 SPEAKER_01：黄色的油漆一年后就会褪成白色。
288 00:26:57,565 --> 00:27:00,428 说话人 SPEAKER_01：两年后，我想所有的房间都是白色的。
289 00:27:00,748 --> 00:27:01,409 说话人 SPEAKER_01：我应该怎么做？
290 00:27:04,451 --> 00:27:07,914 说话人 SPEAKER_01：一个人类可能会说，你应该把蓝色的房间刷成白色。
291 00:27:08,991 --> 00:27:15,339 说话人 SPEAKER_01：GPT-4 说的是你应该把蓝色的房间刷成黄色，但这也可以，因为黄色会逐渐变成白色。
292 00:27:16,340 --> 00:27:21,086 说话人 SPEAKER_01：我不明白它是如何做到这一点的，除非它理解了这个问题。
293 00:27:21,807 --> 00:27:25,633 说话人 SPEAKER_01：它只是预测下一个单词并使用统计学的想法。
294 00:27:26,733 --> 00:27:32,181 说话者 SPEAKER_01：在某种程度上这是真的，但不是大多数人理解的统计学意义上的。
295 00:27:33,358 --> 00:27:42,229 说话者 SPEAKER_01：它从数据中分析出如何提取句子的含义，并使用句子的含义来预测下一个单词。
296 00:27:42,730 --> 00:27:45,512 说话者 SPEAKER_01：它真的理解了，这相当令人震惊。
297 00:27:46,614 --> 00:27:51,799 说话者 SPEAKER_02：那么，你对更广泛的反应，公众对 Chat GPT 的反应感到惊讶吗？
298 00:27:53,261 --> 00:27:56,865 说话人 SPEAKER_01：嗯，鉴于它工作得很好，公众的反应并不令人惊讶。
299 00:27:57,106 --> 00:27:58,387 说话人 SPEAKER_01：但有趣的是，
300 00:27:59,599 --> 00:28:02,544 说话人 SPEAKER_01：大多数人不会说，它不理解。
301 00:28:03,305 --> 00:28:05,988 说话人 SPEAKER_01：他们说，哇，它理解了我说的内容，并给了我一个连贯的回答。
302 00:28:06,348 --> 00:28:07,250 说话人 SPEAKER_01：我能用它来做什么？
303 00:28:08,471 --> 00:28:10,894 说话人 SPEAKER_01：我认为大多数人对此的看法是正确的。
304 00:28:11,996 --> 00:28:15,259 说话人 SPEAKER_01：当然，它可以用于大量的事物。
305 00:28:16,000 --> 00:28:20,006 说话人 SPEAKER_01：所以我知道有人为医疗服务回答投诉信。
306 00:28:21,969 --> 00:28:26,413 说话人 SPEAKER_01：他以前要花 25 分钟来撰写一封解决问题的信。
307 00:28:27,015 --> 00:28:29,218 说话人 SPEAKER_01：现在他只需将问题输入到
308 00:28:30,565 --> 00:28:33,569 说话人 SPEAKER_01：GPT-4，然后它就会写这封信。
309 00:28:34,089 --> 00:28:38,698 说话人 SPEAKER_01：然后他只需看一下这封信，决定是否可以发送，现在只需要 5 分钟。
310 00:28:39,258 --> 00:28:41,141 说话人 SPEAKER_01：所以他现在效率提高了五倍。
311 00:28:42,143 --> 00:28:46,209 说话人 SPEAKER_01：这种情况将会无处不在，就像法律助理也会这样。
312 00:28:46,990 --> 00:28:48,712 说话人 SPEAKER_01：程序员已经变得这样了。
313 00:28:49,173 --> 00:28:55,864 说话人 SPEAKER_01：如果程序员得到像 GPT-4 这样的帮助，他们可以更有效率，因为它知道如何编程。
314 00:28:56,890 --> 00:29:01,496 说话人 SPEAKER_01：你可能认为它只是因为看过很多程序而知道如何编程。
315 00:29:03,699 --> 00:29:06,824 说话人 SPEAKER_01：所以我有一个非常聪明且编程能力很强的前研究生。
316 00:29:08,144 --> 00:29:12,070 说话人 SPEAKER_01：他做了一项小实验，他的名字叫 Radford Neal。
317 00:29:12,530 --> 00:29:22,424 说话人 SPEAKER_01：他使用了 GPT-4，并定义了一种具有非常不寻常语法的新的编程语言。
318 00:29:23,806 --> 00:29:30,893 说话者 SPEAKER_01：定义了这种编程语言后，仅用文本输入给 GPT-4，然后给它一个程序，问它会做什么？
319 00:29:32,095 --> 00:29:33,096 说话者 SPEAKER_01：它回答正确。
320 00:29:34,136 --> 00:29:39,461 说话者 SPEAKER_01：所以基本上，它能够理解一种新编程语言的定义，并找出该语言中的程序会做什么。
321 00:29:40,823 --> 00:29:46,429 说话者 SPEAKER_01：再次强调，在这种情境下，它只是预测下一个词的想法是没有意义的。
322 00:29:46,469 --> 00:29:48,230 说话人 SPEAKER_01：它必须理解正在发生的事情。
323 00:29:49,152 --> 00:29:52,075 说话人 SPEAKER_02：那么您认为这种人工智能在造福社会方面有哪些最有希望的机会？
324 00:29:53,032 --> 00:29:56,340 说话人 SPEAKER_02：对于这种类型的人工智能来说，有哪些造福社会的机会？
325 00:29:58,306 --> 00:30:00,170 说话人 SPEAKER_01：很难挑选一个，因为有很多。
326 00:30:00,951 --> 00:30:07,768 说话人 SPEAKER_01：就像，任何涉及输出文本的工作都会大幅提高生产力。
327 00:30:08,997 --> 00:30:12,020 说话人 SPEAKER_01：关于提高生产力有许多问题。
328 00:30:12,040 --> 00:30:17,228 说话人 SPEAKER_01：在我们的社会中，提高生产力并不一定是好事，因为它可能会让富人更富，穷人更穷。
329 00:30:17,868 --> 00:30:21,433 说话人 SPEAKER_01：但在一个公正的社会里，仅仅提高生产力就应该是好事。
330 00:30:22,134 --> 00:30:23,376 说话人 SPEAKER_01: 所以会有那样的事情。
331 00:30:24,999 --> 00:30:26,721 说话人 SPEAKER_01: 对于预测来说非常棒。
332 00:30:26,760 --> 00:30:29,605 说话人 SPEAKER_01: 它在预测天气方面会更好。
333 00:30:30,361 --> 00:30:31,722 说话人 SPEAKER_01: 人们还不知道会好多少。
334 00:30:32,103 --> 00:30:35,267 说话人 SPEAKER_01：但它已经擅长预测洪水了。
335 00:30:36,028 --> 00:30:37,328 说话人 SPEAKER_01：它能预测地震。
336 00:30:38,069 --> 00:30:40,653 说话人 SPEAKER_01：它能设计新的纳米材料。
337 00:30:41,354 --> 00:30:44,458 说话人 SPEAKER_01：所以对于太阳能电池板这样的东西，你希望能够设计新的纳米材料。
338 00:30:44,798 --> 00:30:46,200 说话人 SPEAKER_01：或者用于超导。
339 00:30:46,240 --> 00:30:49,023 说话人 SPEAKER_01：我不知道它是否已经用于超导，但它很可能已经如此。
340 00:30:49,744 --> 00:30:52,587 说话人 SPEAKER_01：你希望它在高温下。
341 00:30:52,567 --> 00:30:55,030 说话人 SPEAKER_01：它在设计药物方面真的很擅长。
342 00：30：56,432 --> 00：31：01,138 演讲者 SPEAKER_01：也就是说，找到会与其他特定分子结合的分子。
DeepMind 用它创建了 AlphaFold。
344 00：31：06,766 --> 00：31：09,609 演讲者 SPEAKER_01：现在这不是聊天机器人，那只是深度学习。
345 00：31：10,971 --> 00：31：15,116 演讲者 SPEAKER_01：但是深度学习的基本技术已经
346 00:31:16,767 --> 00:31:24,758 说话人 SPEAKER_01：基本上解决了如何从蛋白质的碱基序列中推断其形状的问题。
347 00:31:25,239 --> 00:31:27,162 说话人 SPEAKER_01：如果你知道它采取的形状，你就知道它的功能。
348 00:31:27,702 --> 00:31:30,145 说话人 SPEAKER_01：我认为聊天机器人将会被广泛应用于各个领域。
349 00:31:31,868 --> 00:31:33,651 说话人 SPEAKER_02：我们还讨论了很多关于医疗保健的话题。
350 00:31:33,671 --> 00:31:38,557 说话人 SPEAKER_02：我的意思是，你提到了药物发现，但医疗保健也是另一个可以真正受益的领域。
351 00:31:38,577 --> 00:31:38,818 说话人 SPEAKER_01：是的。
352 00:31:39,539 --> 00:31:46,690 说话人 SPEAKER_01：在解读医学扫描方面，比如如果你做一个 CT 扫描，CT 扫描中有很多信息，
353 00:31:47,159 --> 00:32:01,672 说话人 SPEAKER_01：而这些信息并没有被利用，大多数医生也不知道这些信息是什么，这将能够从 CT 扫描中获得更多信息，以及能够与医生竞争，说出你有什么癌症或它长得有多大。
354 00:32:01,692 --> 00:32:10,701 说话人 SPEAKER_01：目前，例如，当医生告诉你癌症的大小，你会得到一个像三厘米这样的数字，而一个月前它是两厘米。
355 00:32:11,862 --> 00:32:15,224 说话人 SPEAKER_01：现在，如果这东西看起来像章鱼，那这个数字就不是很有用，对吧？
356 00:32:17,077 --> 00:32:21,884 说话人 SPEAKER_01：神经网络将能够更好地理解癌症的体积以及它的变化。
357 00:32:23,285 --> 00:32:25,607 说话人 SPEAKER_01：所以在那方面将会非常巨大。
358 00:32:26,169 --> 00:32:30,914 说话人 SPEAKER_01：它已经在很多种扫描的水平上达到人类水平，而且会变得更好。
359 00:32:32,316 --> 00:32:34,838 说话人 SPEAKER_01：它对诊断疾病将非常有帮助。
360 00:32:35,160 --> 00:32:43,068 说话人 SPEAKER_01：目前，在北美有大量的人因为医生误诊而死亡。
361 00:32:44,450 --> 00:32:55,644 说话人 SPEAKER_01：谷歌正在生产一个名为 MedPalm2 的系统，它已经学会了进行诊断，我认为它的表现已经超过了普通医生。
362 00:32:56,286 --> 00:32:59,109 说话人 SPEAKER_01：我对这个不太确定，因为我已经不在谷歌了，而且这件事很近。
363 00:33:00,132 --> 00:33:04,237 说话人 SPEAKER_01：但它的确可以与医生相提并论，而且它会快速变得更好。
364 00:33:04,257 --> 00:33:09,384 说话人 SPEAKER_01：所以您是否希望有一个全科医生，一个家庭医生？
365 00:33:10,105 --> 00:33:12,127 说话人 SPEAKER_01：您去看一些罕见的疾病，
366 00:33:12,361 --> 00:33:16,930 说话人 SPEAKER_01：你希望你的家庭医生已经看过数百例这种罕见疾病的病例。
367 00:33:16,950 --> 00:33:18,854 说话人 SPEAKER_01：而 MedPalm2 将会是这样。
368 00:33:19,496 --> 00:33:23,364 说话人 SPEAKER_01：所以它最终将更擅长诊断。
369 00:33:25,627 --> 00:33:28,453 说话人 SPEAKER_00：听起来人工智能将带来许多重要的好处。
370 00:33:29,516 --> 00:33:32,563 说话人 SPEAKER_00: 但你已经表达了对当前创新速度的担忧。
371 00:33:33,324 --> 00:33:33,744 说话人 SPEAKER_01: 为什么？
372 00:33:34,265 --> 00:33:44,604 说话人 SPEAKER_01: 好吧，就像 50 年一样，我在 49 年里认为，为了使数字模型更好，我们需要让它们更像大脑工作。
373 00:33:45,285 --> 00:33:55,462 说话人 SPEAKER_01: 所以我一直观察大脑所做的，而数字模型没有做的事情，比如以临时方式快速改变连接强度，这可以使数字模型变得更好。
374 00:33:57,771 --> 00:34:07,191 说话人 SPEAKER_01：最近我意识到，因为这些数字模型具有这种蜂群意识，当一个代理学习到一些东西时，所有其他代理都知道。
375 00:34:07,828 --> 00:34:10,893 说话人 SPEAKER_01：它们实际上可能已经比生物智能更好了。
376 00:34:11,795 --> 00:34:18,385 说话人 SPEAKER_01：所以我完全改变了我的观点，从之前认为它们要很长时间才能做到大脑能做的一切。
377 00:34:19,067 --> 00:34:23,894 说话人 SPEAKER_01：它们将在 30 到 50 年内超过我们，这是我直到最近才认为的。
378 00:34:24,896 --> 00:34:29,123 说话人 SPEAKER_01：几个月前，我突然意识到他们可能已经比我们更优秀了。
379 00:34:29,563 --> 00:34:31,186 说话人 SPEAKER_01：他们只是规模更小。
380 00:34:31,369 --> 00:34:34,836 说话人 SPEAKER_01：而当它们变得更大时，它们就会比我们更聪明。
381 00:34:35,599 --> 00:34:36,621 说话人 SPEAKER_01：这相当可怕。
382 00:34:36,641 --> 00:34:43,375 说话人 SPEAKER_01：观点突然改变，不再是 30 到 50 年，而是 5 年到 20 年左右。
383 00:34:44,117 --> 00:34:51,893 说话人 SPEAKER_01：因此，我们现在必须认真对待这个问题，这些事物可能会比我们更聪明。
384 00:34:52,210 --> 00:34:55,313 说话人 SPEAKER_01：这是一个充满不确定性的时期，没有人真正知道会发生什么。
385 00:34:56,014 --> 00:34:59,137 说话人 SPEAKER_01：也许事情会停滞不前，也许它们不会比我们更聪明。
386 00:34:59,856 --> 00:35:01,059 说话人 SPEAKER_01：但我真的不相信。
387 00:35:01,418 --> 00:35:02,840 说话人 SPEAKER_01：我认为它们会比我们更聪明。
388 00:35:03,201 --> 00:35:12,869 说话人 SPEAKER_01：但也许当它们比我们更聪明时，我们能够使它们保持善良，我们能够使它们比关心自己更多关心人，不像人类。
389 00:35:13,309 --> 00:35:13,990 说话人 SPEAKER_01：但也许不会。
390 00:35:14,811 --> 00:35:18,355 说话人 SPEAKER_01：所以我们必须要非常认真地思考这些问题。
391 00:35:18,474 --> 00:35:20,277 说话人 SPEAKER_01：我对这些问题并不在行。
392 00:35:21,539 --> 00:35:23,820 说话人 SPEAKER_01：我只对这些学习算法有所研究。
393 00:35:25,023 --> 00:35:29,467 说话人 SPEAKER_01：我突然意识到这些超级智能可能很快就会到来。
394 00:35:30,507 --> 00:35:38,817 说话人 SPEAKER_01：我只是拉响警报，让人们听听那些长期以来一直在思考如何阻止他们夺取控制权的人。
395 00:35:40,217 --> 00:35:45,764 说话人 SPEAKER_01：我希望政治家们能听听那些人的意见，而不是说，嗯，嗯，他们是科幻小说作家。
396 00:35:46,244 --> 00:35:47,125 说话人 SPEAKER_01：这永远不可能发生。
397 00:35:48,016 --> 00:35:54,402 说话人 SPEAKER_02：有没有什么特别的时刻，你提到说这是最近的事情，你对此的看法有所改变？
398 00:35:54,844 --> 00:36:04,474 说话人 SPEAKER_01：我正在开发适用于生物系统的学习算法，这些算法可以在生物系统中运行，它们不使用反向传播。
399 00:36:05,655 --> 00:36:10,581 说话人 SPEAKER_01：但我无法让它们像我们在这些数字系统中运行的反向传播算法那样工作得更好。
400 00:36:11,623 --> 00:36:18,572 说话人 SPEAKER_01：而且它们在小网络中可以工作，但当规模扩大时，数字系统总是比生物系统工作得更好。
401 00:36:19,614 --> 00:36:21,775 说话人 SPEAKER_01：突然间我想这可能是我的错。
402 00:36:22,217 --> 00:36:27,003 说话人 SPEAKER_01：可能不是我的学习算法本身就是一个差劲的学习算法。
403 00:36:27,023 --> 00:36:29,525 说话人 SPEAKER_01：可能是因为这些数字系统本身就更好。
404 00:36:31,407 --> 00:36:36,454 说话人 SPEAKER_01：就在那时，我突然改变了关于我们何时会得到超级智能的看法。
405 00:36:37,375 --> 00:36:41,260 说话人 SPEAKER_01：然后我跟我的一些前学生和前同事谈了谈。
406 00:36:41,746 --> 00:36:44,170 说话人 SPEAKER_01：他们中的一些人鼓励我把这件事公之于众。
407 00:36:45,032 --> 00:36:47,596 说话人 SPEAKER_01：不是因为我想推荐任何解决方案。
408 00:36:49,018 --> 00:36:52,164 说话人 SPEAKER_01：并不是说减少碳排放一切就会好起来。
409 00:36:54,188 --> 00:36:56,532 说话人 SPEAKER_01：而是因为他们认为
410 00:36:56,797 --> 00:36:58,079 说话人 SPEAKER_01：我在这个领域很有名。
411 00:36:58,199 --> 00:37:12,956 说话人 SPEAKER_01：如果我在公众面前说超级智能可能很快就会到来，政客们可能会开始相信这是可能的，并开始认真倾听那些长时间思考如何防止这些事物获得控制的研究人员。
412 00:37:13,978 --> 00:37:23,329 说话人 SPEAKER_02：那么从您的角度来看，政府在帮助确保这些 AI 以负责任的方式发展方面可以扮演什么角色？
413 00:37:23,849 --> 00:37:29,016 说话人 SPEAKER_01：所以有很多其他人谈论过的各种风险，我特别不想谈论，比如...
414 00:37:29,603 --> 00:37:33,907 说话人 SPEAKER_01：它们会夺走工作，并加剧贫富差距。
415 00:37:34,728 --> 00:37:37,773 说话人 SPEAKER_01：它们将使人们无法判断新闻是真是假。
416 00:37:38,795 --> 00:37:45,623 说话人 SPEAKER_01：它们将鼓励社会分裂成两个相互不听取对方意见、持有完全对立观点的战争阵营。
417 00:37:46,864 --> 00:37:49,467 说话人 SPEAKER_01：他们将制造设计用来杀人的人形战斗机器人。
418 00:37:50,048 --> 00:37:52,391 说话人 SPEAKER_01：我所说的这些风险都是众所周知的，我并不想讨论。
419 00:37:52,431 --> 00:37:54,213 说话人 SPEAKER_01：并不是我不认为它们很重要。
420 00:37:54,233 --> 00:37:55,675 说话人 SPEAKER_01：我认为它们可能更加紧迫。
421 00:37:56,896 --> 00:37:59,019 说话人 SPEAKER_01：但是很多人都在谈论这些风险。
422 00:37:59,489 --> 00:38:03,275 说话人 SPEAKER_01：我所说的风险是这些事物最终会变得比我们聪明并最终接管一切的风险。
423 00:38:04,277 --> 00:38:10,527 说话人 SPEAKER_01：对于这种风险，政府可能可以采取一些措施，因为没有人希望这样。
424 00:38:12,150 --> 00:38:15,976 说话人 SPEAKER_01：好吧，如果你排除了这些超级智能，没有人希望这样。
425 00:38:16,958 --> 00:38:21,565 说话人 SPEAKER_01: 因此，所有不同的政府都应该能够达成一致
426 00:38:22,726 --> 00:38:27,755 说话人 SPEAKER_01: 他们应该能够共同努力防止这种情况，因为这符合他们的利益。
427 00:38:28,195 --> 00:38:29,036 说话人 SPEAKER_01: 这以前已经发生过。
428 00:38:29,157 --> 00:38:37,831 说话人 SPEAKER_01: 即使在冷战期间，美国和俄罗斯也能共同努力防止发生全球核战争，因为这对所有人来说都是一场灾难。
429 00:38:38,858 --> 00:38:46,208 说话人 SPEAKER_01：对于这种存在性威胁，如果可能预防，应该让每个人都能够共同努力来限制它。
430 00:38:46,748 --> 00:38:54,920 说话人 SPEAKER_01：我不知道是否可能预防它，但至少我们应该能够在那个特定的威胁上实现国际合作，即人工智能接管的存在性威胁。
431 00:38:55,922 --> 00:39:02,992 说话人 SPEAKER_01：我认为应该做的一件事是，无论这些东西在哪里被开发，尤其是这些大型聊天机器人，
432 00:39:04,659 --> 00:39:15,155 说话人 SPEAKER_01：政府应该鼓励公司投入大量资源，因为这些东西变得越来越智能，进行实验以找出如何控制它们。
433 00:39:16,317 --> 00:39:26,753 说话者 SPEAKER_01：所以他们应该研究这些事物可能如何逃脱，并对此进行实证研究，投入大量资源，因为这是我们唯一的机会。
434 00:39:27,728 --> 00:39:32,454 说话者 SPEAKER_01：在他们变得超级智能之前，我们也许可以进行实验，看看会出什么问题。
435 00:39:33,376 --> 00:39:37,322 说话者 SPEAKER_01：我坚信我们需要这方面的实证数据。
436 00:39:37,342 --> 00:39:41,967 说话者 SPEAKER_01：你不能让哲学家、政治家和立法者随意制定规则。
437 00:39:42,668 --> 00:39:47,496 说话人 SPEAKER_01：你需要对这些事情进行实证研究，看看它们是如何出错，以及你如何控制它们。
438 00:39:48,577 --> 00:39:50,460 说话人 SPEAKER_01：这只能由开发它们的人来完成。
439 00:39:51,862 --> 00:39:56,688 说话人 SPEAKER_01：既然你无法阻止它们的发展，你能做的最好的就是
440 00:39:57,039 --> 00:40:08,117 说话人 SPEAKER_01： somehow have governments put a lot of pressure on these companies to put a lot of resources into investigating empirically how to keep them under control when they're not quite as smart as us.
441 00:40:09,320 --> 00:40:15,489 说话人 SPEAKER_02：那么您认为这些大型科技公司在这些发展发生的地方扮演着怎样的角色？
442 00:40:15,931 --> 00:40:18,474 说话人 SPEAKER_02：他们会在没有那种政府监管的情况下这样做吗？
443 00:40:19,027 --> 00:40:27,619 说话人 SPEAKER_01：所以，很多大公司里的人，我所知道的那些在大公司里担任高级职务的人，都非常担心这个问题，并且为此投入了工作。
444 00:40:28,641 --> 00:40:29,742 说话人 SPEAKER_01：他们对此非常关心。
445 00:40:30,523 --> 00:40:32,586 说话人 SPEAKER_01：但他们有义务对股东负责。
446 00:40:33,469 --> 00:40:35,512 说话人 SPEAKER_01：我认为是为了获得高额利润。
447 00:40:36,492 --> 00:40:40,057 说话人 SPEAKER_01：而获得高额利润，尤其是在短期内，
448 00:40:40,342 --> 00:40:44,748 说话人 SPEAKER_01：并不利于投入大量精力确保其安全性。
449 00:40:45,769 --> 00:40:47,092 说话人 SPEAKER_01：你看，这在所有行业中都存在。
450 00:40:47,813 --> 00:40:58,568 说话人 SPEAKER_01：在美国铁路行业，拥有告知你车轮是否锁定的安全装置需要花钱，而大型铁路公司宁愿发生事故也不愿这么做。
451 00:41:01,213 --> 00:41:04,257 说话人 SPEAKER_01：谷歌，我知道一些关于这个大公司的事情，
452 00:41:04,237 --> 00:41:10,884 说话人 SPEAKER_01：并不完全如此，因为它明白如果发生不好的事情，它将遭受巨大的声誉损失。
453 00:41:11,384 --> 00:41:13,445 说话人 SPEAKER_01：这就是为什么谷歌没有发布这些聊天机器人。
454 00:41:13,525 --> 00:41:14,407 说话人 SPEAKER_01：它把它们保留为私密。
455 00:41:14,708 --> 00:41:16,650 说话人 SPEAKER_01：它不希望它们在世界各地供人们玩耍。
